id_ext_link,id_source,source,url,rating,normalized_rating,reviews_nr,normalized_reviews,last_refresh,id_outlet_info
7252488510069113,1-CY4GNE4KGEKEAA,Grab,1-CY4GNE4KGEKEAA,5.0,10,4,1,2020-06-26,5525260842163540
2568584635368516,1-CYWZLXVVV2JTL2,Grab,1-CYWZLXVVV2JTL2,4.4,7,713,9,2020-06-26,358840795457796
7229201151128278,1-CYWCRYVXHFU1LN,Grab,1-CYWCRYVXHFU1LN,3.7,2,141,6,2020-06-26,2544133102398255
3035721286131023,1-CYVBC7A1NF4FUE,Grab,1-CYVBC7A1NF4FUE,3.8,2,65,5,2020-06-26,8423811557537444
7506570852960295,1-CYVFTENFTYCJCX,Grab,1-CYVFTENFTYCJCX,3.9,2,143,6,2020-06-26,5361860335829534
8275642403470600,1-CY4DCFL1R4LCJE,Grab,1-CY4DCFL1R4LCJE,4.1,3,32,4,2020-06-26,3751974059315343
3147047965078058,1-CYXJAN6KGJW2A2,Grab,1-CYXJAN6KGJW2A2,4.8,10,43,4,2020-06-26,102600050244320
8315622812163785,MYDD08046,Grab,MYDD08046,4.1,3,1167,10,2020-06-26,5692713027523451
7679784340222156,1-CZDHNUU3ECDFA2,Grab,1-CZDHNUU3ECDFA2,4.2,4,56,4,2020-06-26,2542034887728045
9187958777389679,1-CZDJL4DEJ322MA,Grab,1-CZDJL4DEJ322MA,4.1,3,73,5,2020-06-26,1328762187410488
2034612294893345,1-CY4DV2XHVCC2PE,Grab,1-CY4DV2XHVCC2PE,4.4,7,953,10,2020-06-26,6933490777423942
7780611651216453,MYDD07656,Grab,MYDD07656,4.1,3,926,10,2020-06-26,3482831892102989
7328455823306075,1-CY2AAGBBNAT2TT,Grab,1-CY2AAGBBNAT2TT,4.8,10,137,6,2020-06-26,9578666224610346
2913915631759235,MYDD05773,Grab,MYDD05773,4.8,10,448,9,2020-06-26,9578666224610346
8142466704008412,1-CYV3J3VZNET2UA,Grab,1-CYV3J3VZNET2UA,4.2,4,1159,10,2020-06-26,9361891444567251
2023834583983662,1-CYW1JJ4TTT2BCX,Grab,1-CYW1JJ4TTT2BCX,4.3,5,271,8,2020-06-26,822596631219108
3568543488424641,1-CY2HVKWTGNKDCT,Grab,1-CY2HVKWTGNKDCT,4.5,8,163,7,2020-06-26,2790913163507946
2765139931910648,1-CYXBT8JGPA3HEJ,Grab,1-CYXBT8JGPA3HEJ,4.3,5,322,8,2020-06-26,4947957904632255
